./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
0610005C13Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610006L08Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610009B22Rik	31.95	20.84	7.47	13.19	11.82	15.59
0610009E02Rik	0.00	0.34	0.00	0.00	0.00	0.65
0610009L18Rik	0.55	0.82	1.54	9.63	5.38	9.23
0610010F05Rik	14.71	17.49	8.05	0.83	1.69	0.10
0610010K14Rik	57.69	56.49	18.17	11.09	11.62	10.61
0610012G03Rik	23.80	13.99	6.99	4.01	7.98	4.37
0610025J13Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610030E20Rik	36.30	63.83	70.51	44.21	47.12	44.89
0610031O16Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610038B21Rik	0.31	0.13	0.43	0.00	0.00	0.69
0610039H22Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610039K10Rik	0.00	0.00	0.00	0.00	0.00	0.32
0610040B10Rik	0.00	0.82	0.00	0.00	0.00	0.00
0610040F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610040J01Rik	42.40	6.35	7.70	6.40	20.95	19.30
0610042G04Rik	1.87	0.09	0.25	0.94	1.74	2.78
0610043K17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1100001I12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110002E22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110002J07Rik	0.00	0.00	0.08	0.00	0.00	0.38
1110002L01Rik	9.01	2.84	2.68	3.15	2.87	2.00
1110002O04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110004F10Rik	359.16	117.96	67.85	44.38	42.23	43.51
1110006O24Rik	1.91	0.87	0.27	2.71	5.20	3.46
1110008P14Rik	3.44	32.66	22.28	33.49	20.65	39.99
1110015O18Rik	0.00	0.00	0.00	0.00	0.00	0.00
